iter	Passed	Remaining
0	1	191
1	3	174
2	4	154
3	5	138
4	7	133
5	8	126
6	9	122
7	10	118
8	11	114
9	12	110
10	13	108
11	14	106
12	15	103
13	16	101
14	17	99
15	18	97
16	19	95
17	20	94
18	21	93
19	22	91
20	23	90
21	25	88
22	26	87
23	27	85
24	27	83
25	28	82
26	29	80
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	100	8
92	101	7
93	103	6
94	104	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
